loc_rowid,pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,sy_dist,sy_disterr1,sy_disterr2
3319,Kepler-197 c,Kepler-197,2,4,2014,10.34969500,0.00004500,-0.00004500,0,0.090000,,,0,1.230,0.040,-0.040,0,5.30000,3.30000,-2.90000,0,330.5750000,2.3440000,-2.3120000
3320,Kepler-197 d,Kepler-197,2,4,2014,15.67756300,0.00009600,-0.00009600,0,0.119000,,,0,1.220,0.100,-0.100,0,1.98000,,,0,330.5750000,2.3440000,-2.3120000
3321,Kepler-197 e,Kepler-197,2,4,2014,25.20971500,0.00038700,-0.00038700,0,0.164000,,,0,0.910,0.040,-0.040,0,0.69300,,,0,330.5750000,2.3440000,-2.3120000
3322,Kepler-1972 b,Kepler-1972,1,2,2014,7.54425000,0.00054000,-0.00054000,0,0.076300,,,0,0.802,0.042,-0.041,0,2.02000,0.56000,-0.62000,0,287.3390000,2.0980000,-2.0680000
3323,Kepler-1972 c,Kepler-1972,1,2,2014,11.32950000,0.00110000,-0.00110000,0,0.104100,,,0,0.868,0.051,-0.050,0,2.11000,0.59000,-0.65000,0,287.3390000,2.0980000,-2.0680000
3324,Kepler-1976 b,Kepler-1976,1,1,2023,4.95931924,0.00000052,-0.00000052,0,0.056500,,,0,12.210,1.960,-1.460,0,,,,,1314.5100000,41.8450000,-41.8450000
3325,Kepler-1977 b,Kepler-1977,1,1,2023,4.53702121,0.00002498,-0.00002498,0,0.048600,,,0,1.660,0.190,-0.110,0,3.39000,,,0,592.7110000,12.3435000,-12.3435000
3326,Kepler-1978 b,Kepler-1978,1,1,2023,10.84969477,0.00002777,-0.00002777,0,0.091400,,,0,2.670,0.380,-0.210,0,7.61000,,,0,865.5120000,20.2140000,-19.3270000
3327,Kepler-1979 b,Kepler-1979,1,1,2023,18.50845260,0.00013110,-0.00013110,0,0.138300,,,0,29.330,8.820,-2.940,0,79500.00000,,,0,1076.2700000,36.1600000,-36.1600000
3328,Kepler-198 b,Kepler-198,1,3,2014,17.79003700,0.00003500,-0.00003500,0,0.131000,,,0,2.820,0.420,-0.420,0,8.35000,,,0,495.3580000,4.2465000,-4.2465000
3329,Kepler-198 c,Kepler-198,1,3,2014,49.56741600,0.00022000,-0.00022000,0,0.259000,,,0,2.470,0.370,-0.370,0,6.66000,,,0,495.3580000,4.2465000,-4.2465000
3330,Kepler-198 d,Kepler-198,1,3,2016,1.31184443,0.00000133,-0.00000133,0,0.022900,,,0,1.530,0.090,-0.070,0,2.96000,,,0,495.3580000,4.2465000,-4.2465000
